time	track	channel	bar	pitch	volume	bar	instrument
1663	0	4	25	62	71	25	0
1663	0	4	25	58	71	25	0
1663	0	4	25	53	71	25	0
1663	0	4	25	65	71	25	0
1671	0	4	26	70	71	26	0
1671	0	1	26	72	95	26	0
1671	0	1	26	58	95	26	0
1671	0	2	26	65	111	26	0
1671	0	9	26	40	95	26	0
1671	0	9	26	55	95	26	0
1671	0	9	26	69	95	26	0
1671	0	4	26	67	71	26	0
1671	0	4	26	62	71	26	0
1671	0	4	26	58	71	26	0
1679	0	4	26	53	71	26	0
1679	0	4	26	65	71	26	0
1679	0	4	26	58	71	26	0
1679	0	4	26	62	71	26	0
1679	0	1	26	53	95	26	0
1679	0	2	26	67	111	26	0
1679	0	1	26	72	95	26	0
1687	0	4	26	74	71	26	0
1687	0	4	26	62	71	26	0
1687	0	11	26	41	54	26	0
1687	0	11	26	53	54	26	0
1687	0	4	26	67	71	26	0
1687	0	4	26	70	71	26	0
1687	0	9	26	35	95	26	0
1687	0	9	26	41	95	26	0
1687	0	9	26	55	95	26	0
