time	track	channel	pitch	volume	instrument
800	2	4	60	53	4
800	2	4	55	53	4
800	2	4	65	0	4
800	2	4	62	0	4
800	4	6	65	0	48
800	4	6	60	56	48
800	4	6	64	51	48
800	5	7	36	65	35
800	6	9	42	72	0
800	6	9	42	0	0
800	7	1	67	80	39
807	4	6	60	0	48
807	2	4	67	0	4
808	1	1	67	0	39
808	7	1	67	0	39
808	1	1	69	80	39
808	2	4	64	39	4
808	6	9	35	72	0
808	6	9	42	0	0
808	6	9	42	72	0
808	7	1	69	80	39
812	3	5	55	53	25
815	4	6	64	0	48
815	2	4	64	0	4
816	1	1	69	0	39
816	7	1	69	0	39
816	1	1	72	80	39
816	2	4	67	56	4
816	3	5	64	68	25
816	3	5	60	62	25
816	6	9	42	0	0
816	6	9	42	72	0
816	6	9	35	0	0
816	6	9	38	72	0
816	7	1	72	80	39
823	3	5	55	0	25
823	2	4	67	0	4
823	3	5	64	0	25
823	3	5	60	0	25
824	1	1	72	0	39
824	7	1	72	0	39
824	1	1	69	80	39
824	2	4	64	45	4
824	6	9	42	0	0
824	6	9	38	0	0
824	6	9	42	72	0
824	7	1	69	80	39
826	5	7	36	0	35
828	1	1	69	0	39
828	7	1	69	0	39
828	1	1	67	80	39
828	7	1	67	80	39
829	2	4	55	0	4
830	2	4	60	0	4
831	2	4	64	0	4
832	1	1	67	0	39
832	7	1	67	0	39
832	1	1	67	80	39
832	2	4	50	56	4
832	5	7	38	68	35
832	6	9	35	72	0
832	6	9	42	0	0
832	6	9	42	72	0
832	7	1	67	80	39
840	2	4	57	53	4
840	4	6	53	51	48
840	6	9	42	72	0
840	6	9	42	0	0
844	1	1	67	0	39
844	7	1	67	0	39
844	1	1	69	80	39
844	7	1	69	80	39
847	1	1	69	0	39
847	7	1	69	0	39
848	1	1	67	80	39
848	2	4	62	53	4
848	4	6	57	53	48
848	6	9	35	0	0
848	6	9	42	0	0
848	6	9	42	72	0
848	6	9	38	72	0
848	7	1	67	80	39
854	2	4	50	0	4
855	4	6	53	0	48
856	1	1	67	0	39
856	7	1	67	0	39
856	1	1	65	80	39
856	2	4	65	56	4
856	4	6	62	51	48
856	6	9	42	72	0
856	6	9	42	0	0
856	6	9	38	0	0
856	7	1	65	80	39
858	5	7	38	0	35
860	1	1	65	0	39
860	1	1	62	80	39
860	7	1	65	0	39
860	7	1	62	80	39
863	4	6	57	0	48
863	2	4	65	0	4
864	1	1	62	0	39
864	7	1	62	0	39
864	1	1	62	80	39
864	2	4	69	56	4
864	5	7	38	68	35
864	6	9	42	0	0
864	6	9	42	72	0
864	7	1	62	80	39
871	4	6	62	0	48
871	2	4	69	0	4
872	2	4	65	39	4
872	6	9	42	72	0
872	6	9	42	0	0
872	6	9	35	72	0
876	3	5	57	53	25
876	4	6	57	45	48
879	2	4	65	0	4
880	1	1	62	0	39
880	7	1	62	0	39
880	1	1	69	80	39
880	2	4	69	56	4
880	3	5	62	62	25
880	3	5	65	68	25
880	4	6	62	59	48
880	6	9	38	72	0
880	6	9	35	0	0
880	6	9	42	0	0
880	6	9	42	72	0
880	7	1	69	80	39
884	1	1	69	0	39
884	7	1	69	0	39
884	1	1	67	80	39
884	7	1	67	80	39
887	3	5	57	0	25
887	4	6	57	0	48
887	2	4	69	0	4
887	3	5	62	0	25
887	3	5	65	0	25
887	4	6	62	0	48
887	1	1	67	0	39
887	7	1	67	0	39
888	1	1	65	80	39
888	2	4	65	45	4
888	6	9	42	72	0
888	6	9	42	0	0
888	6	9	38	0	0
888	7	1	65	80	39
890	5	7	38	0	35
892	1	1	65	0	39
892	7	1	65	0	39
892	1	1	67	80	39
892	7	1	67	80	39
893	2	4	57	0	4
894	2	4	62	0	4
895	2	4	65	0	4
896	1	1	67	0	39
896	1	1	65	80	39
896	7	1	65	80	39
896	7	1	67	0	39
896	2	4	58	56	4
896	5	7	46	76	35
896	6	9	35	72	0
896	6	9	42	72	0
896	6	9	42	0	0
904	2	4	65	53	4
904	4	6	62	48	48
904	6	9	42	0	0
904	6	9	42	72	0
912	1	1	65	0	39
912	7	1	65	0	39
912	1	1	69	80	39
912	2	4	70	53	4
912	4	6	65	53	48
912	6	9	42	72	0
912	6	9	35	0	0
912	6	9	42	0	0
912	6	9	38	72	0
912	7	1	69	80	39
916	1	1	69	0	39
916	7	1	69	0	39
916	1	1	67	80	39
916	7	1	67	80	39
918	2	4	58	0	4
919	4	6	62	0	48
920	1	1	67	0	39
920	7	1	67	0	39
920	1	1	65	80	39
920	2	4	74	56	4
920	4	6	70	53	48
920	6	9	42	72	0
920	6	9	42	0	0
920	6	9	38	0	0
920	7	1	65	80	39
922	5	7	46	0	35
923	1	1	65	0	39
923	7	1	65	0	39
924	1	1	67	80	39
924	7	1	67	80	39
927	4	6	65	0	48
927	2	4	74	0	4
928	1	1	67	0	39
928	7	1	67	0	39
928	1	1	65	80	39
928	2	4	65	0	4
928	2	4	70	0	4
928	2	4	55	53	4
928	2	4	60	53	4
928	2	4	67	56	4
928	4	6	70	0	48
928	4	6	60	53	48
928	4	6	64	48	48
928	5	7	36	72	35
928	6	9	42	0	0
928	6	9	42	72	0
928	7	1	65	80	39
935	4	6	60	0	48
935	2	4	67	0	4
936	2	4	64	39	4
936	6	9	42	72	0
936	6	9	42	0	0
936	6	9	35	72	0
940	1	1	65	0	39
940	7	1	65	0	39
940	1	1	60	80	39
940	3	5	55	53	25
940	7	1	60	80	39
943	4	6	64	0	48
943	2	4	64	0	4
944	1	1	60	0	39
944	7	1	60	0	39
944	1	1	69	80	39
944	2	4	67	56	4
944	3	5	60	62	25
944	3	5	64	68	25
944	6	9	38	72	0
944	6	9	42	0	0
944	6	9	35	0	0
944	6	9	42	72	0
944	7	1	69	80	39
948	1	1	69	0	39
948	7	1	69	0	39
948	1	1	67	80	39
948	7	1	67	80	39
950	5	7	36	0	35
951	3	5	55	0	25
951	2	4	67	0	4
951	3	5	64	0	25
951	3	5	60	0	25
952	1	1	67	0	39
952	7	1	67	0	39
952	1	1	65	80	39
